"time","CP","Center","middle","edge","brine","heater","plasma"
"0.000000","49.400000","51.400000","50.400000","53.400000","20","80","30"
"1.000000","49.720000","51.743750","50.818519","52.780000","20","80","30"
"2.000000","49.961188","51.999491","51.107300","52.322667","20","80","30"
"3.000000","50.142806","52.188555","51.306226","51.984530","20","80","30"
"4.000000","50.279392","52.327554","51.442902","51.733912","20","80","30"
"5.000000","50.381952","52.429232","51.536466","51.547696","20","80","30"
"6.000000","50.458828","52.503259","51.600201","51.408971","20","80","30"
"7.000000","50.516342","52.556906","51.643332","51.305348","20","80","30"
"8.000000","50.559285","52.595605","51.672266","51.227732","20","80","30"
"9.000000","50.591280","52.623385","51.691452","51.169430","20","80","30"
"10.000000","50.615065","52.643222","51.703975","51.125509","20","80","30"
"11.000000","50.632707","52.657305","51.711971","51.092322","20","80","30"
"12.000000","50.645760","52.667238","51.716919","51.067170","20","80","30"
"13.000000","50.655394","52.674189","51.719834","51.048049","20","80","30"
"14.000000","50.662485","52.679008","51.721413","51.033468","20","80","30"
"15.000000","50.667690","52.682311","51.722131","51.022313","20","80","30"
"16.000000","50.671499","52.684542","51.722310","51.013753","20","80","30"
"17.000000","50.674276","52.686022","51.722166","51.007164","20","80","30"
"18.000000","50.676294","52.686977","51.721840","51.002076","20","80","30"
"19.000000","50.677755","52.687572","51.721425","50.998135","20","80","30"
"20.000000","50.678807","52.687921","51.720980","50.995074","20","80","30"
