"time","CP","Center","middle","edge","brine","heater","plasma"
"0.000000","50.400000","52.400000","51.400000","54.400000","30","120","110"
"1.000000","51.665000","53.607292","52.308333","53.925833","30","120","110"
"2.000000","52.610865","54.511753","53.001061","53.616323","30","120","110"
"3.000000","53.318193","55.190986","53.530869","53.420390","30","120","110"
"4.000000","53.847284","55.702311","53.937266","53.301939","30","120","110"
"5.000000","54.243215","56.088172","54.249936","53.235594","30","120","110"
"6.000000","54.539659","56.380070","54.491223","53.203635","30","120","110"
"7.000000","54.761765","56.601434","54.677988","53.193786","30","120","110"
"8.000000","54.928307","56.769733","54.822987","53.197624","30","120","110"
"9.000000","55.053302","56.898014","54.935894","53.209446","30","120","110"
"10.000000","55.147212","56.996045","55.024066","53.225449","30","120","110"
"11.000000","55.217850","57.071157","55.093117","53.243160","30","120","110"
"12.000000","55.271053","57.128859","55.147340","53.261015","30","120","110"
"13.000000","55.311180","57.173305","55.190032","53.278073","30","120","110"
"14.000000","55.341491","57.207631","55.223728","53.293813","30","120","110"
"15.000000","55.364425","57.234212","55.250388","53.307988","30","120","110"
"16.000000","55.381808","57.254850","55.271529","53.320527","30","120","110"
"17.000000","55.395008","57.270915","55.288328","53.331470","30","120","110"
"18.000000","55.405052","57.283453","55.301705","53.340918","30","120","110"
"19.000000","55.412709","57.293263","55.312376","53.349007","30","120","110"
"20.000000","55.418559","57.300958","55.320903","53.355883","30","120","110"
