"time","CP","Center","middle","edge","brine","heater","plasma"
"0.000000","51.600000","53.600000","52.600000","55.600000","30","160","70"
"1.000000","52.155000","54.507292","53.286111","54.945833","30","160","70"
"2.000000","52.588865","55.164531","53.795403","54.482564","30","160","70"
"3.000000","52.925432","55.642948","54.173574","54.155704","30","160","70"
"4.000000","53.184950","55.992742","54.454643","53.926119","30","160","70"
"5.000000","53.384102","56.249535","54.663838","53.765731","30","160","70"
"6.000000","53.536348","56.438762","54.819828","53.654427","30","160","70"
"7.000000","53.652382","56.578687","54.936402","53.577820","30","160","70"
"8.000000","53.740602","56.682496","55.023743","53.525639","30","160","70"
"9.000000","53.807546","56.759748","55.089364","53.490568","30","160","70"
"10.000000","53.858270","56.817411","55.138818","53.467409","30","160","70"
"11.000000","53.896659","56.860574","55.176209","53.452483","30","160","70"
"12.000000","53.925690","56.892975","55.204573","53.443193","30","160","70"
"13.000000","53.947632","56.917364","55.226166","53.437714","30","160","70"
"14.000000","53.964210","56.935774","55.242663","53.434775","30","160","70"
"15.000000","53.976736","56.949707","55.255311","53.433491","30","160","70"
"16.000000","53.986201","56.960282","55.265043","53.433255","30","160","70"
"17.000000","53.993354","56.968329","55.272558","53.433654","30","160","70"
"18.000000","53.998765","56.974470","55.278382","53.434411","30","160","70"
"19.000000","54.002859","56.979169","55.282910","53.435342","30","160","70"
"20.000000","54.005960","56.982775","55.286442","53.436331","30","160","70"
