"time","CP","Center","middle","edge","brine","heater","plasma"
"0.000000","51.800000","53.800000","52.800000","55.800000","20","160","110"
"1.000000","52.940000","55.143750","53.840741","55.460000","20","160","110"
"2.000000","53.805188","56.145046","54.641662","55.262260","20","160","110"
"3.000000","54.460884","56.894565","55.259163","55.159072","20","160","110"
"4.000000","54.957347","57.458008","55.736280","55.117322","20","160","110"
"5.000000","55.333043","57.883273","56.105817","55.114236","20","160","110"
"6.000000","55.617294","58.205469","56.392766","55.134330","20","160","110"
"7.000000","55.832379","58.450463","56.616180","55.167229","20","160","110"
"8.000000","55.995189","58.637403","56.790600","55.206118","20","160","110"
"9.000000","56.118502","58.780525","56.927141","55.246639","20","160","110"
"10.000000","56.211978","58.890455","57.034317","55.286119","20","160","110"
"11.000000","56.282907","58.975158","57.118664","55.323013","20","160","110"
"12.000000","56.336793","59.040623","57.185214","55.356532","20","160","110"
"13.000000","56.377786","59.091368","57.237851","55.386373","20","160","110"
"14.000000","56.409019","59.130818","57.279580","55.412539","20","160","110"
"15.000000","56.432854","59.161573","57.312734","55.435214","20","160","110"
"16.000000","56.451076","59.185614","57.339130","55.454681","20","160","110"
"17.000000","56.465034","59.204455","57.360186","55.471268","20","160","110"
"18.000000","56.475747","59.219260","57.377013","55.485315","20","160","110"
"19.000000","56.483986","59.230920","57.390483","55.497149","20","160","110"
"20.000000","56.490336","59.240125","57.401282","55.507076","20","160","110"
