"time","CP","Center","middle","edge","brine","heater","plasma"
"0.000000","49.400000","51.400000","50.400000","53.400000","20","80","70"
"1.000000","50.280000","52.143750","51.085185","52.940000","20","80","70"
"2.000000","50.933188","52.709491","51.593720","52.624445","20","80","70"
"3.000000","51.418706","53.139077","51.973107","52.410508","20","80","70"
"4.000000","51.780048","53.464952","52.257558","52.267675","20","80","70"
"5.000000","52.049281","53.712061","52.471852","52.174262","20","80","70"
"6.000000","52.250100","53.899465","52.634040","52.114915","20","80","70"
"7.000000","52.400043","54.041669","52.757337","52.078802","20","80","70"
"8.000000","52.512114","54.149673","52.851472","52.058321","20","80","70"
"9.000000","52.595963","54.231802","52.923639","52.048172","20","80","70"
"10.000000","52.658764","54.294348","52.979184","52.044681","20","80","70"
"11.000000","52.705852","54.342060","53.022099","52.045333","20","80","70"
"12.000000","52.741200","54.378526","53.055376","52.048422","20","80","70"
"13.000000","52.767766","54.406454","53.081271","52.052810","20","80","70"
"14.000000","52.787759","54.427889","53.101487","52.057755","20","80","70"
"15.000000","52.802826","54.444379","53.117321","52.062787","20","80","70"
"16.000000","52.814197","54.457094","53.129758","52.067621","20","80","70"
"17.000000","52.822793","54.466923","53.139556","52.072098","20","80","70"
"18.000000","52.829301","54.474539","53.147295","52.076139","20","80","70"
"19.000000","52.834238","54.480456","53.153423","52.079721","20","80","70"
"20.000000","52.837989","54.485064","53.158286","52.082851","20","80","70"
