"time","CP","Center","middle","edge","brine","heater","plasma"
"0.000000","50.400000","52.400000","51.400000","54.400000","30","120","70"
"1.000000","51.105000","53.207292","52.041667","53.765833","30","120","70"
"2.000000","51.638865","53.801753","52.514641","53.314545","30","120","70"
"3.000000","52.042293","54.240465","52.863987","52.994412","30","120","70"
"4.000000","52.346628","54.564913","53.122610","52.768176","30","120","70"
"5.000000","52.575885","54.805343","53.314549","52.609027","30","120","70"
"6.000000","52.748387","54.983863","53.457384","52.497691","30","120","70"
"7.000000","52.878064","55.116672","53.563983","52.420333","30","120","70"
"8.000000","52.975478","55.215665","53.643782","52.367035","30","120","70"
"9.000000","53.048618","55.289596","53.703707","52.330704","30","120","70"
"10.000000","53.103512","55.344919","53.748857","52.306277","30","120","70"
"11.000000","53.144705","55.386402","53.782990","52.290149","30","120","70"
"12.000000","53.175613","55.417571","53.808883","52.279763","30","120","70"
"13.000000","53.198808","55.441040","53.828595","52.273313","30","120","70"
"14.000000","53.216218","55.458750","53.843654","52.269526","30","120","70"
"15.000000","53.229290","55.472144","53.855199","52.267514","30","120","70"
"16.000000","53.239110","55.482298","53.864081","52.266659","30","120","70"
"17.000000","53.246492","55.490014","53.870938","52.266536","30","120","70"
"18.000000","53.252045","55.495891","53.876250","52.266855","30","120","70"
"19.000000","53.256226","55.500379","53.880378","52.267421","30","120","70"
"20.000000","53.259377","55.503816","53.883597","52.268107","30","120","70"
