"time","CP","Center","middle","edge","brine","heater","plasma"
"0.000000","50.600000","52.600000","51.600000","54.600000","20","120","110"
"1.000000","51.890000","53.843750","52.596296","54.280000","20","120","110"
"2.000000","52.855187","54.782269","53.360901","54.094242","20","120","110"
"3.000000","53.577745","55.492082","53.949576","53.997779","20","120","110"
"4.000000","54.119025","56.030179","54.404248","53.959379","20","120","110"
"5.000000","54.524827","56.439081","54.756528","53.957532","20","120","110"
"6.000000","54.829333","56.750570","55.030322","53.977594","20","120","110"
"7.000000","55.058061","56.988447","55.243761","54.009742","20","120","110"
"8.000000","55.230065","57.170572","55.410639","54.047514","20","120","110"
"9.000000","55.359574","57.310372","55.541483","54.086776","20","120","110"
"10.000000","55.457221","57.417964","55.644355","54.124986","20","120","110"
"11.000000","55.530953","57.500987","55.725445","54.160679","20","120","110"
"12.000000","55.586716","57.565218","55.789524","54.193102","20","120","110"
"13.000000","55.628962","57.615044","55.840279","54.221972","20","120","110"
"14.000000","55.661026","57.653794","55.880571","54.247290","20","120","110"
"15.000000","55.685408","57.684010","55.912622","54.269237","20","120","110"
"16.000000","55.703986","57.707630","55.938168","54.288085","20","120","110"
"17.000000","55.718172","57.726140","55.958566","54.304150","20","120","110"
"18.000000","55.729027","57.740681","55.974881","54.317759","20","120","110"
"19.000000","55.737353","57.752130","55.987951","54.329228","20","120","110"
"20.000000","55.743754","57.761166","55.998437","54.338852","20","120","110"
