"time","CP","Center","middle","edge","brine","heater","plasma"
"0.000000","51.600000","53.600000","52.600000","55.600000","30","160","110"
"1.000000","52.715000","54.907292","53.552778","55.105833","30","160","110"
"2.000000","53.560865","55.874531","54.281822","54.784341","30","160","110"
"3.000000","54.201332","56.593470","54.840456","54.581683","30","160","110"
"4.000000","54.685606","57.130140","55.269299","54.459881","30","160","110"
"5.000000","55.051431","57.532364","55.599225","54.392298","30","160","110"
"6.000000","55.327620","57.834969","55.853667","54.360371","30","160","110"
"7.000000","55.536082","58.063450","56.050407","54.351273","30","160","110"
"8.000000","55.693430","58.236564","56.202948","54.356228","30","160","110"
"9.000000","55.812229","58.368166","56.321551","54.369309","30","160","110"
"10.000000","55.901969","58.468536","56.414028","54.386582","30","160","110"
"11.000000","55.969805","58.545328","56.486336","54.405494","30","160","110"
"12.000000","56.021130","58.604263","56.543031","54.424444","30","160","110"
"13.000000","56.060004","58.649629","56.587603","54.442475","30","160","110"
"14.000000","56.089484","58.684655","56.622737","54.459062","30","160","110"
"15.000000","56.111872","58.711775","56.650500","54.473965","30","160","110"
"16.000000","56.128899","58.732833","56.672490","54.487123","30","160","110"
"17.000000","56.141871","58.749230","56.689948","54.498588","30","160","110"
"18.000000","56.151771","58.762032","56.703836","54.508474","30","160","110"
"19.000000","56.159341","58.772053","56.714907","54.516928","30","160","110"
"20.000000","56.165142","58.779917","56.723748","54.524108","30","160","110"
