"time","CP","Center","middle","edge","brine","heater","plasma"
"0.000000","51.400000","53.400000","52.400000","55.400000","40","160","70"
"1.000000","51.930000","54.270833","52.998148","54.591667","40","160","70"
"2.000000","52.344542","54.894016","53.435562","54.004645","40","160","70"
"3.000000","52.665880","55.341853","53.754867","53.578315","40","160","70"
"4.000000","52.913209","55.664874","53.987662","53.268678","40","160","70"
"5.000000","53.102490","55.898626","54.157246","53.043793","40","160","70"
"6.000000","53.246674","56.068261","54.280728","52.880468","40","160","70"
"7.000000","53.356085","56.191674","54.370630","52.761864","40","160","70"
"8.000000","53.438843","56.281656","54.436091","52.675749","40","160","70"
"9.000000","53.501273","56.347390","54.483775","52.613237","40","160","70"
"10.000000","53.548261","56.395491","54.518530","52.567872","40","160","70"
"11.000000","53.583557","56.430744","54.543880","52.534965","40","160","70"
"12.000000","53.610027","56.456615","54.562390","52.511105","40","160","70"
"13.000000","53.629850","56.475625","54.575919","52.493816","40","160","70"
"14.000000","53.644676","56.489610","54.585820","52.481298","40","160","70"
"15.000000","53.655754","56.499909","54.593077","52.472242","40","160","70"
"16.000000","53.664023","56.507501","54.598404","52.465697","40","160","70"
"17.000000","53.670191","56.513104","54.602320","52.460974","40","160","70"
"18.000000","53.674789","56.517243","54.605205","52.457570","40","160","70"
"19.000000","53.678214","56.520303","54.607334","52.455121","40","160","70"
"20.000000","53.680765","56.522567","54.608909","52.453363","40","160","70"
