"time","CP","Center","middle","edge","brine","heater","plasma"
"0.000000","51.400000","53.400000","52.400000","55.400000","40","160","30"
"1.000000","51.370000","53.870833","52.731481","54.431667","40","160","30"
"2.000000","51.372542","54.184016","52.949143","53.702867","40","160","30"
"3.000000","51.389980","54.391331","53.087985","53.152337","40","160","30"
"4.000000","51.412553","54.527476","53.173005","52.734916","40","160","30"
"5.000000","51.435161","54.615797","53.221859","52.417226","40","160","30"
"6.000000","51.455402","54.672055","53.246890","52.174524","40","160","30"
"7.000000","51.472384","54.706912","53.256625","51.988411","40","160","30"
"8.000000","51.486015","54.727588","53.256885","51.845160","40","160","30"
"9.000000","51.496590","54.738972","53.251588","51.734496","40","160","30"
"10.000000","51.504561","54.744366","53.243320","51.648700","40","160","30"
"11.000000","51.510411","54.745989","53.233753","51.581953","40","160","30"
"12.000000","51.514587","54.745327","53.223932","51.529853","40","160","30"
"13.000000","51.517477","54.743360","53.214482","51.489056","40","160","30"
"14.000000","51.519402","54.740729","53.205746","51.457011","40","160","30"
"15.000000","51.520618","54.737841","53.197887","51.431768","40","160","30"
"16.000000","51.521325","54.734950","53.190956","51.411830","40","160","30"
"17.000000","51.521675","54.732203","53.184930","51.396040","40","160","30"
"18.000000","51.521782","54.729681","53.179750","51.383507","40","160","30"
"19.000000","51.521732","54.727419","53.175337","51.373535","40","160","30"
"20.000000","51.521583","54.725425","53.171603","51.365586","40","160","30"
